k,distance,std,TP,TN,FP,FN,Acc
2,euclidean,150,894,0,322,16,0.725649350649
2,max,150,745,15,307,165,0.616883116883
2,mahattan,150,910,0,322,0,0.738636363636
2,braycurtis,150,910,0,322,0,0.738636363636
2,canberra,150,910,13,309,0,0.749188311688
2,chebyshev,150,757,0,322,153,0.614448051948
2,cosine,150,888,5,317,22,0.724837662338
2,dice,150,734,150,172,176,0.717532467532
2,hamming,150,910,10,312,0,0.746753246753
2,matching,150,565,255,67,345,0.665584415584
2,russellrao,150,381,113,209,529,0.400974025974
2,sokalmichener,150,670,210,112,240,0.714285714286
2,sokalsneath,150,726,202,120,184,0.753246753247
3,euclidean,150,867,0,322,43,0.703733766234
3,max,150,702,3,319,208,0.57224025974
3,mahattan,150,910,0,322,0,0.738636363636
3,braycurtis,150,910,37,285,0,0.768668831169
3,canberra,150,910,17,305,0,0.752435064935
3,chebyshev,150,655,16,306,255,0.544642857143
3,cosine,150,780,12,310,130,0.642857142857
3,dice,150,552,259,63,358,0.658279220779
3,hamming,150,910,1,321,0,0.739448051948
3,matching,150,530,297,25,380,0.671266233766
3,russellrao,150,301,124,198,609,0.344967532468
3,sokalmichener,150,502,240,82,408,0.602272727273
3,sokalsneath,150,560,268,54,350,0.672077922078
4,euclidean,150,858,0,322,52,0.696428571429
4,max,150,608,5,317,302,0.497564935065
4,mahattan,150,896,0,322,14,0.727272727273
4,braycurtis,150,875,8,314,35,0.716720779221
4,canberra,150,892,0,322,18,0.724025974026
4,chebyshev,150,615,34,288,295,0.526785714286
4,cosine,150,807,5,317,103,0.659090909091
4,dice,150,542,249,73,368,0.642045454545
4,hamming,150,885,16,306,25,0.731331168831
4,matching,150,429,306,16,481,0.596590909091
4,russellrao,150,217,135,187,693,0.285714285714
4,sokalmichener,150,530,243,79,380,0.627435064935
4,sokalsneath,150,488,261,61,422,0.607954545455
1,euclidean,200,839,0,322,71,0.681006493506
1,max,200,682,31,291,228,0.578733766234
1,mahattan,200,859,16,306,51,0.710227272727
1,braycurtis,200,832,70,252,78,0.732142857143
1,canberra,200,875,39,283,35,0.741883116883
1,chebyshev,200,709,32,290,201,0.601461038961
1,cosine,200,729,37,285,181,0.621753246753
1,dice,200,260,304,18,650,0.457792207792
1,hamming,200,896,47,275,14,0.765422077922
1,matching,200,359,320,2,551,0.551136363636
1,russellrao,200,314,155,167,596,0.380681818182
1,sokalmichener,200,463,295,27,447,0.61525974026
1,sokalsneath,200,446,287,35,464,0.594967532468
2,euclidean,200,910,0,322,0,0.738636363636
2,max,200,838,4,318,72,0.683441558442
2,mahattan,200,910,2,320,0,0.74025974026
2,braycurtis,200,910,8,314,0,0.74512987013
2,canberra,200,910,30,292,0,0.762987012987
2,chebyshev,200,843,10,312,67,0.69237012987
2,cosine,200,902,5,317,8,0.736201298701
2,dice,200,518,257,65,392,0.629058441558
2,hamming,200,910,2,320,0,0.74025974026
2,matching,200,466,305,17,444,0.625811688312
2,russellrao,200,404,93,229,506,0.403409090909
2,sokalmichener,200,520,242,80,390,0.618506493506
2,sokalsneath,200,492,274,48,418,0.621753246753
3,euclidean,200,881,0,322,29,0.715097402597
3,max,200,805,13,309,105,0.663961038961
3,mahattan,200,910,0,322,0,0.738636363636
3,braycurtis,200,910,35,287,0,0.767045454545
3,canberra,200,910,25,297,0,0.758928571429
3,chebyshev,200,757,14,308,153,0.625811688312
3,cosine,200,873,0,322,37,0.708603896104
3,dice,200,553,277,45,357,0.673701298701
3,hamming,200,885,0,322,25,0.718344155844
3,matching,200,481,312,10,429,0.643668831169
3,russellrao,200,96,174,148,814,0.219155844156
3,sokalmichener,200,540,284,38,370,0.668831168831
3,sokalsneath,200,638,259,63,272,0.728084415584
4,euclidean,200,867,0,322,43,0.703733766234
4,max,200,762,1,321,148,0.619318181818
4,mahattan,200,910,0,322,0,0.738636363636
4,braycurtis,200,910,39,283,0,0.770292207792
4,canberra,200,910,21,301,0,0.755681818182
4,chebyshev,200,758,31,291,152,0.640422077922
4,cosine,200,876,4,318,34,0.714285714286
4,dice,200,597,278,44,313,0.710227272727
4,hamming,200,910,0,322,0,0.738636363636
4,matching,200,428,314,8,482,0.602272727273
4,russellrao,200,167,191,131,743,0.290584415584
4,sokalmichener,200,517,298,24,393,0.661525974026
4,sokalsneath,200,467,265,57,443,0.594155844156
1,euclidean,250,853,0,322,57,0.69237012987
1,max,250,769,34,288,141,0.651785714286
1,mahattan,250,873,8,314,37,0.715097402597
1,braycurtis,250,859,112,210,51,0.788149350649
1,canberra,250,889,111,211,21,0.811688311688
1,chebyshev,250,764,47,275,146,0.658279220779
1,cosine,250,783,24,298,127,0.655032467532
1,dice,250,337,294,28,573,0.512175324675
1,hamming,250,851,58,264,59,0.737824675325
1,matching,250,248,321,1,662,0.461850649351
1,russellrao,250,403,201,121,507,0.49025974026
1,sokalmichener,250,248,303,19,662,0.44724025974
1,sokalsneath,250,428,289,33,482,0.581980519481
2,euclidean,250,889,0,322,21,0.721590909091
2,max,250,855,11,311,55,0.702922077922
2,mahattan,250,910,0,322,0,0.738636363636
2,braycurtis,250,910,49,273,0,0.778409090909
2,canberra,250,910,29,293,0,0.762175324675
2,chebyshev,250,845,29,293,65,0.709415584416
2,cosine,250,910,13,309,0,0.749188311688
2,dice,250,566,307,15,344,0.708603896104
2,hamming,250,910,6,316,0,0.743506493506
2,matching,250,476,313,9,434,0.640422077922
2,russellrao,250,314,139,183,596,0.367694805195
2,sokalmichener,250,602,289,33,308,0.723214285714
2,sokalsneath,250,605,267,55,305,0.707792207792
3,euclidean,250,872,0,322,38,0.707792207792
3,max,250,822,33,289,88,0.693993506494
3,mahattan,250,910,0,322,0,0.738636363636
3,braycurtis,250,910,27,295,0,0.760551948052
3,canberra,250,910,37,285,0,0.768668831169
3,chebyshev,250,841,4,318,69,0.685876623377
3,cosine,250,879,14,308,31,0.724837662338
3,dice,250,437,303,19,473,0.600649350649
3,hamming,250,910,0,322,0,0.738636363636
3,matching,250,473,314,8,437,0.638798701299
3,russellrao,250,281,143,179,629,0.344155844156
3,sokalmichener,250,502,293,29,408,0.645292207792
3,sokalsneath,250,548,285,37,362,0.676136363636
4,euclidean,250,875,0,322,35,0.710227272727
4,max,250,824,27,295,86,0.690746753247
4,mahattan,250,910,0,322,0,0.738636363636
4,braycurtis,250,910,48,274,0,0.777597402597
4,canberra,250,910,52,270,0,0.780844155844
4,chebyshev,250,830,14,308,80,0.685064935065
4,cosine,250,888,13,309,22,0.731331168831
4,dice,250,477,278,44,433,0.612824675325
4,hamming,250,910,1,321,0,0.739448051948
4,matching,250,371,321,1,539,0.561688311688
4,russellrao,250,134,230,92,776,0.295454545455
4,sokalmichener,250,352,274,48,558,0.508116883117
4,sokalsneath,250,439,290,32,471,0.591720779221
1,euclidean,300,873,10,312,37,0.716720779221
1,max,300,803,21,301,107,0.668831168831
1,mahattan,300,894,12,310,16,0.73538961039
1,braycurtis,300,873,133,189,37,0.816558441558
1,canberra,300,889,84,238,21,0.789772727273
1,chebyshev,300,754,49,273,156,0.651785714286
1,cosine,300,826,66,256,84,0.724025974026
1,dice,300,339,314,8,571,0.530032467532
1,hamming,300,871,28,294,39,0.729707792208
1,matching,300,304,316,6,606,0.503246753247
1,russellrao,300,22,257,65,888,0.226461038961
1,sokalmichener,300,442,290,32,468,0.594155844156
1,sokalsneath,300,129,306,16,781,0.353084415584
2,euclidean,300,889,0,322,21,0.721590909091
2,max,300,869,26,296,41,0.726461038961
2,mahattan,300,910,0,322,0,0.738636363636
2,braycurtis,300,910,60,262,0,0.787337662338
2,canberra,300,910,45,277,0,0.775162337662
2,chebyshev,300,869,20,302,41,0.721590909091
2,cosine,300,902,21,301,8,0.749188311688
2,dice,300,472,258,64,438,0.592532467532
2,hamming,300,910,6,316,0,0.743506493506
2,matching,300,350,321,1,560,0.544642857143
2,russellrao,300,367,161,161,543,0.428571428571
2,sokalmichener,300,548,270,52,362,0.663961038961
2,sokalsneath,300,541,296,26,369,0.679383116883
3,euclidean,300,910,0,322,0,0.738636363636
3,max,300,839,7,315,71,0.686688311688
3,mahattan,300,910,0,322,0,0.738636363636
3,braycurtis,300,910,82,240,0,0.805194805195
3,canberra,300,910,99,223,0,0.818993506494
3,chebyshev,300,838,34,288,72,0.707792207792
3,cosine,300,896,41,281,14,0.760551948052
3,dice,300,387,302,20,523,0.559253246753
3,hamming,300,910,0,322,0,0.738636363636
3,matching,300,308,321,1,602,0.510551948052
3,russellrao,300,93,211,111,817,0.246753246753
3,sokalmichener,300,521,303,19,389,0.668831168831
3,sokalsneath,300,239,288,34,671,0.42775974026
4,euclidean,300,889,2,320,21,0.723214285714
4,max,300,855,35,287,55,0.722402597403
4,mahattan,300,910,7,315,0,0.744318181818
4,braycurtis,300,910,101,221,0,0.820616883117
4,canberra,300,910,98,224,0,0.818181818182
4,chebyshev,300,869,26,296,41,0.726461038961
4,cosine,300,888,7,315,22,0.726461038961
4,dice,300,420,300,22,490,0.584415584416
4,hamming,300,910,0,322,0,0.738636363636
4,matching,300,86,321,1,824,0.330357142857
4,russellrao,300,311,220,102,599,0.431006493506
4,sokalmichener,300,548,291,31,362,0.681006493506
4,sokalsneath,300,422,270,52,488,0.561688311688
1,euclidean,350,873,6,316,37,0.713474025974
1,max,350,853,21,301,57,0.709415584416
1,mahattan,350,894,8,314,16,0.732142857143
1,braycurtis,350,873,160,162,37,0.838474025974
1,canberra,350,875,170,152,35,0.848214285714
1,chebyshev,350,839,46,276,71,0.718344155844
1,cosine,350,830,89,233,80,0.745941558442
1,dice,350,348,300,22,562,0.525974025974
1,hamming,350,885,44,278,25,0.754058441558
1,matching,350,163,321,1,747,0.392857142857
1,russellrao,350,248,244,78,662,0.399350649351
1,sokalmichener,350,387,315,7,523,0.569805194805
1,sokalsneath,350,374,285,37,536,0.534902597403
2,euclidean,350,910,0,322,0,0.738636363636
2,max,350,869,7,315,41,0.711038961039
2,mahattan,350,910,12,310,0,0.748376623377
2,braycurtis,350,910,97,225,0,0.81737012987
2,canberra,350,910,102,220,0,0.821428571429
2,chebyshev,350,869,20,302,41,0.721590909091
2,cosine,350,910,18,304,0,0.753246753247
2,dice,350,572,272,50,338,0.685064935065
2,hamming,350,910,0,322,0,0.738636363636
2,matching,350,348,306,16,562,0.530844155844
2,russellrao,350,290,212,110,620,0.407467532468
2,sokalmichener,350,565,280,42,345,0.685876623377
2,sokalsneath,350,257,295,27,653,0.448051948052
3,euclidean,350,910,0,322,0,0.738636363636
3,max,350,855,45,277,55,0.730519480519
3,mahattan,350,910,1,321,0,0.739448051948
3,braycurtis,350,910,77,245,0,0.801136363636
